"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"New Zealand","NZL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4658","17267","43500","83000","191695","321000","470200","853020","914961","1022340","1092000","1178000","1272000","1316000","1410000","1450900","1530500","1583000","1647640","1697530","1764980","1801120","1863050","1958080","",
"OECD members","OED","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15006644","34119819","57881479","84852178.33","120501264","163756464","205225450","243930116","271119384","291489318","309735991","326597940","339955135","353041748","363964613","380122100","394560081","408708530","421502631","434366770","456648099","471516483","481180149","","",
"Oman","OMN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","136","668","13240","20065","20177","32447","41131","58556","78217","113324","154290","177063","233234","284647","348926","422035","473070","508949","524518","536967","561983","",
"Other small states","OSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275374","389536","538406","700286","885795","1049622","1178851","1388176","1459173","1545913","1605855","1662601","1710570","1799097","1849097","1970415","2065902","2179591","2279111","","",
"Pakistan","PAK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14600","26611","45153","168082","391629","789487","1166300","1516810","1628110","2008680","1793200","2488330","2318000","2162340","2034540","2442940","2949030","3128430","3356720","",
"Panama","PAN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7771","12235","15039","16746","17567","112738","150283","196190","234381","258292","282843","294739","307266","310065","316168","429931","441163","540220","535631","593959","644776","721117","808557","",
"Peru","PER","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","1078","","37401","93908","227610","352622","484899","570218","725563","827663","932503","1211770","1442780","1612810","1767060","1999460","2120760","2310220","2582140","2397290","2762340","3003170","3163510","3532270","",
"Philippines","PHL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","21000","55000","89000","123000","265030","496151","1045720","1722410","","1791000","2146600","2572800","2900000","2900000","2985450","3399290","3788490","6312880","7936570","9623730","8706270","7513090","",
"Palau","PLW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","100","97","101","111","142","239","518","898","1805","1110","1224","","","","","","","1242","1300","",
"Papua New Guinea","PNG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2987","4453","6100","7500","9200","11300","13200","15000","17000","18000","","20000","21000","21000","21900","","",
"Poland","POL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","121684","195752","875865","945159","2911150","4174000","4462690","5596000","5858500","6972130","6887680","7031060","7233850","7265550","7327920","7633080","7851420","7837960","8369220","8679490","9150140","10122500","",
"Pre-demographic dividend","PRE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210716","256270","281918","367508","","608342","675421","907266","1160205","1730105","6616717","7059361","7719317","10253395","10529866","10744637","","",
"Puerto Rico (US)","PRI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2427","22732","54337","86303","118268","150233","182198","426310","480293","551520","558251","573225","601570","610334","704411","686851","660077","609027","609943","669518","769192","722167","750838","",
"Korea, Dem. People's Rep.","PRK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297","25154","99316","260591","502030","838371","1165440","1423690","1527050","1635430","1911830","2126690","2243040","2390780","2563360","2857780","3142190","3375600","3574640","3784680","3967720","4160810","4313760","4472780","4601070","",
"Paraguay","PRY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","300","500","500","3050","5600","6000","8600","12800","77435","89493","120101","136152","156576","185125","215135","246660","290264","320700","412186","562369","722685","753981","881769","",
"West Bank and Gaza","PSE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","7463","27172","55648","","","","155964","186380","213065","235142","274500","320684","359872","364086","364881","376911","415492","421065","452781","",
"Pacific island small states","PSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8837","10820","14531","16698","17653","30845","29135","20690","22361","28676","29061","28255","23330","24883","41887","40724","42473","","","",
"Post-demographic dividend","PST","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15491314","34777801","58291518","84516336.33","118119138","159074788","196043573","229497496","252986071","270110266","287624006","301763275","313484337","325563071","335022908","349397579","361610072","372405782","381778901","393951489","409730473","419408052","427309962","","",
"French Polynesia","PYF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","32","946","4551","11000","18234","23600","27671","30030","32247","36000","40200","44900","49740","51908","55443","57684","59790","62000","64000","74773","78266","99947","",
"Qatar","QAT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228","2991","10915","25609","46773","87673","106177","144760","145787","164601","185127","215487","225472","237774","253718","256560","267906","284679","296126","311888","365648","346798","",
"Romania","ROU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","15800","196106","104265","377090","1090000","1952200","2517400","2812600","3000600","3283150","3541340","3790270","4016390","4262130","4449500","4754780","5089610","5277230","5684720","6100700","6365580","6628500","",
"Russian Federation","RUS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","343000","675000","1589000","2900000","4900000","9280000","12900000","15700000","17634800","20923300","23745300","24950600","26881500","27522700","31103200","32062800","32857600","33893300","34622800","35863000","37558400","",
"Rwanda","RWA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1148","1180","1704","2543","1120","2214","3942","8645","5498","2781","2917","21125","21721","21780","7501","8885","17685","31902","47772","62175","",
"South Asia","SAS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50327","83191","144282","256367","1387080","2357243","3303988","5629923","8660474","12508277","15470515","17720391","18859246","21716379","24600000","28900000","29300000","30800000","32100000","36000000","42000000","51000000","58000000","65000000",
"Saudi Arabia","SAU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","34782","45982","68700","67798","218176","623116","1048100","1437720","1711600","1951460","2540150","","","6335560","6397540","6653290","6821870","6801950","7890260","10588200","13456700","14494300","",
"Sudan","SDN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","793","1269","2065","42500","44625","","13500","17430","24789","25707","20661","28093","26376","30549","31352","32762","28782","30426","29847","","",
"Senegal","SEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","2383","7665","18028","28926","38132","47358","58720","78647","92713","95561","106733","103362","100611","98353","111795","129820","152047","177363","208314","247760","356839","",
"Singapore","SGP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","30000","69000","151000","270000","417100","545200","656200","787900","926000","1071200","1233500","1338400","1408200","1432800","1493400","1474000","1486200","1591900","1475700","1493600","1504000","1509700","1526400","1556600","1588200","",
"Solomon Islands","SLB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","450","650","1000","1500","2000","2522","2430","2132","1884","1335","1420","1639","1166","1488","1045","1000","1000","836","","",
"Sierra Leone","SLE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","180","184","","","",
"El Salvador","SLV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19601","29321","42314","61484","89761","123469","149406","175274","206000","242100","284428","318915","353001","395307","451263","492265","525088","586000","613403","700237","733631","",
"San Marino","SMR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","1076","1220","1480","1599","4900","5446","5992","6538","9902","10231","11700","11641","12000","10500","10858","11081","11000","12000","12200","","",
"Somalia, Fed. Rep.","SOM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000","60000","70000","82000","92000","98000","","98000","119000","119000","119000","132726","",
"Serbia","SRB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33486","121727","325730","457181","590586","859892","970407","1063980","1173640","1191080","1320230","1450960","1480750","1552160","1623790","1730500","1799830","1948910","2076670","",
"Sub-Saharan Africa (excluding high income)","SSA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220205","","668216","797808","942937","1338656","1644780","2085297","2959275","3601737","3639380","4086781","4160112","4373332","5321881","5000000","6000000","6000000","8000000","10000000",
"South Sudan","SSD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","17","100","100","150","150","200","200","200","","200","200","200","",
"Sub-Saharan Africa","SSF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221153","","671709","801225","947491","1345449","1654192","2095874","2971686","3613564","3700000","4100000","4200000","4600000","5300000","5000000","6000000","7000000","8000000","11000000",
"Small states","SST","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336837","481396","647497","840013","1053031","1259179","1403299","1625009","1782658","1889379","1988237","2100000","2200000","2300000","2300000","2500000","3000000","3000000","3000000","3000000","3000000",
"Sao Tome and Principe","STP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","308","344","443","585","737","778","978","1100","1314","1425","1479","1557","1642","2512","3423","4582","5775","",
"Suriname","SUR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","216","420","1107","2656","4205","5756","9069","15143","23160","29268","37095","46400","52691","71217","71217","73176","80410","92270","122961","124795","110290","",
"Slovak Republic","SVK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4083","22461","78764","181538","304615","546664","604688","775056","876953","953098","1045490","1109060","1191220","1273810","1336540","1405620","1507520","1590550","1701560","1774670","1860820","1830480","",
"Slovenia","SVN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","56735","57992","115069","196650","279814","344677","425294","449030","470527","494372","509336","524621","555815","569026","589324","601820","612745","627939","651603","666813","677095","675376","",
"Sweden","SWE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249000","587000","840000","1095000","1410000","2522000","2489000","2780300","2902830","2945090","2999540","3027460","3073170","3147620","3281410","3496240","3679770","3854840","3942090","4038730","4179570","4253440","4258840","4298050","",
"Eswatini","SWZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","772","1504","3658","8024","3429","4200","5100","6000","7000","15542","21871","24113","27314","30802","26637","34007","",
"Sint Maarten (Dutch part)","SXM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349","948","2475","3493","3417","4554","6793","9412","10577","12411","11827","13420","14035","15221","19689","26974","34966","41280","37445","39373","",
"Syrian Arab Republic","SYR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","2700","5218","6957","11055","34657","69817","121300","242154","346146","501194","729261","1009610","1423070","1328690","1493170","1548100","1575800","1608930","1618890","",
"Turks and Caicos Islands","TCA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297","331","15799","19454","14689","10131","11337","5126","331","334","68","0","0","0","0","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26660","366942","3378319","11467799","25585996","38842035","53495465","71349600","90439075","115076496","137814988","171435966","192705835","208232739","221606908","301300000","350300000","426600000","445600000","494900000","535000000","595000000","652000000","698000000","735000000",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172304","945126","2288046","5012329","11135860","18719023","27124156","34906926","41960223","47900267","54125075","60275684","62990386","68800000","72300000","79400000","83900000","87200000","95000000","101000000","106000000","112000000","118000000",
"Togo","TGO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1201","1911","4166","27225","34039","41493","6915","12610","66072","48763","50550","26156","31899","52706","66528","94282","114272","",
"Thailand","THA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1613","","11611","164775","555495","893548","1293340","2072800","2624280","3251850","3895000","4519000","5192000","5440000","6229000","7219000","8208000","9189000","10108800","11478300","12420900","12562700","11291200","",
"Tajikistan","TJK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","3645","3658","4400","4700","5020","5400","5800","6100","6000","6000","6000","","6000","6000","6000","6240","","",
"Turkmenistan","TKM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","465","723","1100","1400","1800","2300","28200","46706","75234","114052","176681","236591","289542","377207","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138033","609056","1496909","2408680","6047245","8241392","12798148","19785200","27311117","33132429","38542318","45641091","51068488","55903481","60848085","66200000","70700000","75900000","81800000","85800000","96000000","106000000","114000000","119000000","127000000",
"Timor-Leste","TLS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","13","22","29","50","71","471","500","550","600","700","1028","1028","","3346","70","89","83","137","137","80","",
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","TMN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99517","","","1021027","1695712","2606940","3739938","5188037","7110817","9732202","11975076","14781798","15900000","18600000","26000000","29000000","30400000","38000000","42000000","45000000","48000000","51000000",
"Tonga","TON","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","22","334","645","633","780","721","1000","1100","1300","1500","1700","1800","2458","3000","3000","2519","3703","5000","6812","8586","","",
"South Asia (IDA & IBRD)","TSA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50327","83191","144282","256367","1387080","2357243","3303988","5629923","8660474","12508277","15470515","17720391","18859246","21716379","24600000","28900000","29300000","30800000","32100000","36000000","42000000","51000000","58000000","65000000",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221153","","671709","801225","947491","1345449","1654192","2095874","2971686","3613564","3700000","4100000","4200000","4600000","5300000","5000000","6000000","7000000","8000000","11000000",
"Trinidad and Tobago","TTO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","884","4233","10803","20613","35491","85447","130057","162850","172318","201410","212498","248108","278522","255579","326776","342200","339340","376771","370887","389436","404202","",
"Tunisia","TUN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","259","2839","17573","43845","95916","227328","372887","482204","559358","527308","519984","567539","573977","640267","801785","1014010","1193940","1334720","1496690","1688340","1725580","",
"Turkiye","TUR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10915","21205","199324","577931","1589770","2773690","4753760","5756970","6450290","7098160","7591370","7868970","8893390","8866360","9504590","10499700","11924900","13407200","14232000","16734900","18135700","18998800","19600200","",
"Tuvalu","TUV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","150","250","270","290","100","240","450","450","450","450","450","450","450","","","","450","452","","",
"Tanzania","TZA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2589","2998","3394","6422","6947","7554","28268","41325","56425","84600","106000","318474","763466","861234","1039660","1135610","1243050","1429220","1665170","",
"Uganda","UGA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","1210","1860","4798","6000","14000","35514","38400","41500","55198","80724","92115","","","32370","34596","38512","40256","44422","",
"Ukraine","UKR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130000","520000","800000","1600000","1907700","2955860","3170380","3644980","3996550","3945580","4978810","5125500","5239740","5405130","6784190","7769400","7566290","7190920","8066310","",
"Upper middle income","UMC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385800000","440200000","526500000","552100000","602700000","655000000","723000000","787000000","842000000","888000000",
"Uruguay","URY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000","48539","106582","165018","244531","317484","383549","472876","580669","737078","840261","900933","921677","953281","977390","1012410","1063700","1105460","1135500","1097850","",
"United States","USA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","706000","2750000","7069870","12792800","19881500","27744300","37352500","51156400","60237700","71704000","77130000","79992000","84522000","88317000","92514000","96032000","97810000","102212000","105714000","108200000","110756000","114292000","121232000","125885000","128037000","131028000","",
"Uzbekistan","UZB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2757","5514","8271","8639","19180","65960","88735","118000","147760","220575","306300","820450","1787790","2746360","3320210","4123510","3479570","5309010","7497460","9013980","10791900","",
"St. Vincent and the Grenadines","VCT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","1086","1146","1320","3647","5618","7972","9364","11507","12502","13249","13616","14604","14716","16960","21865","19273","24613","21715","24733","27872","29590","30897","",
"Venezuela, RB","VEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4473","36636","78151","116997","210209","356198","537628","857812","1115120","1401550","1673080","1815640","2036710","2233430","2400080","2589710","2613990","2607830","2604580","2561130","2561690","2609860","2702910","3010660","",
"British Virgin Islands","VGB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7690","6879","7301","7435","6182","6393","6660","6218","5003","4715","5929","7090","7897","6824","","",
"Virgin Islands (U.S.)","VIR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1484","2967","","5933","7416","9000","9100","","","9100","9100","9000","","","","","","","8708","","",
"Viet Nam","VNM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1076","9180","52709","210024","516569","1294110","2048950","3214180","3669320","3838210","4775370","5152580","6000530","7657620","9098290","11269900","12994500","14802400","16699200","19328200","21299900","22760500","",
"Vanuatu","VUT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","23","59","95","130","200","500","500","337","310","310","4569","4297","4386","","","7888","2785","3157","3526","3952","",
"World","WLD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219600000","284000000","346100000","411000000","468100000","526300000","598000000","648900000","692400000","730800000","841300000","918100000","1027000000","1071100000","1140800000","1228000000","1330000000","1421000000","1502000000","1575000000",
"Samoa","WSM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","65","98","130","160","200","200","","1084","1238","2021","2084","2169","1692","1692","1692","1692","1692","1889","","",
"Kosovo","XKX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1498","2781","11000","26000","54000","84000","109000","167300","256800","340000","395000","276219","369004","386330","382000","391000","405635","485905","","",
"South Africa","ZAF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2669","20313","60000","165290","335112","378000","426000","481000","743000","907000","1107200","1615210","1706310","1409350","1150770","1123190","1107010","1250360","1303060","1694650","1948060","2152800","",
"Zambia","ZMB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","31","48","91","250","250","2339","4000","5703","10702","10267","16415","14999","13447","20521","23390","31784","35912","72228","88891","82317","80592","86446","141211","",
"Zimbabwe","ZWE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771","2847","6386","8967","10185","10200","15210","18000","47130","33000","34000","71905","103916","152234","163987","170838","187310","203056","204424","203461","205333","260560","257299","",
