STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,SIZE_CLASS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,OBS_STATUS_2,,OBS_STATUS_3,,UNIT_MULT,,TIME_HORIZON_USE,,DECIMALS,,BREAKDOWN_V7,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2021,,41.599799999999995,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,A3F_B,,PT_ENT,,_T,,S_GE10,,2023,,25.242399999999996,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,A3F_B,,PT_ENT,,_T,,S_GE10,,2023,,37.347,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,A3F_B,,PT_ENT,,_T,,S_GE10,,2021,,32.6601,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2021,,89.3775,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,USA,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2012,,72.85,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2019,,81.8,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2019,,19.4,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2019,,2.1,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2021,,2.6,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2021,,20.1,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2021,,84.3,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2012,,26.2,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2012,,79.8,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2013,,77.5,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2013,,31,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2019,,23.5,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2020,,24.94,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2021,,27.6,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2013,,1.88,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2014,,63.1,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2014,,12.9,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2014,,3.3,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2015,,15.4,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2015,,3.6,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2015,,12.9,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2015,,59.7,,A,,,,,,0,,,,2,,BUS_TOTAL,
